customer_id,first_purchase_date,last_purchase_date,total_orders,total_spent,avg_order_value,days_since_first_purchase,days_since_last_purchase,product_categories,num_categories,acquisition_source,campaign_type,acquisition_cost,email_engagement_rate,return_rate,customer_segment,actual_clv
CUST_00036,2024-02-05,2025-08-30,1,44.12,42.67,710,138,"[""Sports""]",1,Google Ads,Prospecting,28.39,0.285,0.14,Low-CLV,48.83
CUST_00037,2024-11-29,2025-12-18,7,532.07,78.98,412,28,"[""Toys"", ""Books"", ""Fashion"", ""Electronics""]",4,Email,None,8.64,0.511,0.066,Growth-Potential,890.51
CUST_00038,2024-05-18,2025-10-20,7,659.48,95.58,607,87,"[""Electronics"", ""Toys"", ""Beauty""]",3,Google Ads,Brand,25.28,0.54,0.11,Growth-Potential,1225.22
CUST_00039,2024-07-14,2025-02-22,3,160.97,50.54,550,327,"[""Toys"", ""Food & Beverage""]",2,Google Ads,Retargeting,33.42,0.138,0.131,Low-CLV,175.85
CUST_00040,2025-08-21,2025-08-21,1,27.05,25.28,147,147,"[""Sports""]",1,Meta Ads,Prospecting,54.61,0.135,0.25,Low-CLV,25.32
CUST_00041,2024-09-19,2025-11-09,4,327.39,86.33,483,67,"[""Food & Beverage"", ""Toys"", ""Electronics"", ""Books""]",4,Google Ads,Brand,40.22,0.407,0.069,Growth-Potential,469.93
CUST_00042,2025-03-26,2025-10-22,7,564.53,81.4,295,85,"[""Beauty""]",1,Meta Ads,Prospecting,48.43,0.389,0.103,Growth-Potential,819.95
CUST_00043,2025-09-10,2025-09-10,3,69.09,25.03,127,127,"[""Home & Garden"", ""Food & Beverage""]",2,Meta Ads,Prospecting,39.04,0.065,0.197,Low-CLV,55.66
CUST_00044,2025-06-01,2025-12-18,2,172.48,86.77,228,28,"[""Sports""]",1,Google Ads,Prospecting,43.89,0.479,0.063,Growth-Potential,336.83
CUST_00045,2024-06-19,2025-09-01,2,85.83,46.8,575,136,"[""Beauty"", ""Toys""]",2,Meta Ads,Brand,35.27,0.173,0.237,Low-CLV,86.6
CUST_00046,2024-03-17,2025-12-19,8,697.16,91.45,669,27,"[""Fashion"", ""Food & Beverage""]",2,Meta Ads,Prospecting,35.27,0.372,0.107,Growth-Potential,838.08
CUST_00047,2025-04-24,2025-12-22,4,210.84,49.84,266,24,"[""Toys"", ""Electronics""]",2,Email,None,7.18,0.315,0.078,Growth-Potential,344.86
CUST_00048,2025-08-20,2025-08-20,1,20.15,19.42,148,148,"[""Food & Beverage""]",1,Email,None,6.78,0.05,0.162,Low-CLV,19.65
CUST_00049,2025-12-06,2025-12-06,3,128.1,38.82,40,40,"[""Electronics"", ""Toys""]",2,Email,None,5.76,0.075,0.118,Low-CLV,141.23
CUST_00050,2025-06-02,2025-12-20,4,197.97,51.2,227,26,"[""Books"", ""Beauty""]",2,Email,None,4.31,0.434,0.113,Growth-Potential,347.43
CUST_00051,2024-05-13,2025-04-24,3,65.52,24.26,612,266,"[""Toys"", ""Electronics""]",2,Organic,None,1.81,0.026,0.15,Low-CLV,57.33
CUST_00052,2024-05-29,2025-11-25,7,606.02,86.84,596,51,"[""Beauty"", ""Books"", ""Fashion"", ""Home & Garden"", ""Electronics""]",5,Meta Ads,Brand,19.19,0.221,0.077,Growth-Potential,994.96
CUST_00053,2025-06-09,2025-06-20,1,40.92,41.62,220,209,"[""Food & Beverage""]",1,Google Ads,Retargeting,39.18,0.035,0.266,Low-CLV,41.76
CUST_00054,2025-03-15,2025-05-26,3,122.14,45.21,306,234,"[""Food & Beverage"", ""Toys"", ""Fashion""]",3,Email,None,5.87,0.041,0.114,Low-CLV,119.53
CUST_00055,2024-07-27,2025-12-01,8,681.88,79.57,537,45,"[""Toys"", ""Beauty"", ""Books"", ""Fashion""]",4,Google Ads,Retargeting,21.85,0.382,0.082,Growth-Potential,1088.46
CUST_00056,2024-04-27,2025-10-25,6,299.05,53.66,628,82,"[""Fashion"", ""Beauty""]",2,Organic,None,1.33,0.24,0.135,Growth-Potential,545.83
CUST_00057,2025-07-15,2025-11-13,5,520.7,96.65,184,63,"[""Fashion""]",1,Google Ads,Brand,54.22,0.541,0.135,Growth-Potential,722.64
CUST_00058,2025-10-25,2025-12-19,3,248.89,86.43,82,27,"[""Sports""]",1,Meta Ads,Retargeting,34.38,0.374,0.06,Growth-Potential,370.04
CUST_00059,2024-04-05,2025-11-13,5,457.39,91.52,650,63,"[""Sports"", ""Beauty"", ""Home & Garden"", ""Electronics""]",4,Google Ads,Prospecting,43.26,0.517,0.067,Growth-Potential,877.79
CUST_00060,2025-09-08,2025-11-23,6,388.46,62.37,129,53,"[""Toys"", ""Food & Beverage""]",2,Google Ads,Retargeting,31.86,0.377,0.085,Growth-Potential,616.32
CUST_00061,2025-11-20,2025-11-20,6,329.24,51.14,56,56,"[""Food & Beverage""]",1,Direct,None,4.51,0.48,0.052,Growth-Potential,614.45
CUST_00062,2025-10-12,2025-11-29,3,308.53,97.62,95,47,"[""Fashion""]",1,Email,None,7.17,0.341,0.114,Growth-Potential,593.22
CUST_00063,2024-11-13,2025-11-20,5,171.99,37.13,428,56,"[""Sports"", ""Toys"", ""Fashion"", ""Home & Garden"", ""Beauty""]",5,Google Ads,Retargeting,34.76,0.346,0.063,Growth-Potential,339.49
CUST_00064,2024-09-03,2025-04-27,1,38.78,36.65,499,263,"[""Food & Beverage""]",1,Meta Ads,Brand,48.71,0.023,0.251,Low-CLV,36.74
CUST_00065,2024-09-11,2025-11-01,5,603.38,110.85,491,75,"[""Fashion"", ""Books""]",2,Meta Ads,Brand,55.92,0.576,0.061,Growth-Potential,1121.73
CUST_00066,2025-06-03,2025-12-17,5,222.16,44.1,226,29,"[""Toys"", ""Sports"", ""Books"", ""Fashion"", ""Beauty""]",5,Google Ads,Retargeting,61.68,0.218,0.054,Growth-Potential,382.99
CUST_00067,2024-09-13,2025-11-15,4,197.89,50.82,489,61,"[""Electronics"", ""Beauty"", ""Home & Garden""]",3,Organic,None,0.61,0.348,0.094,Growth-Potential,267.52
CUST_00068,2024-02-06,2025-10-22,2,39.3,21.24,709,85,"[""Beauty""]",1,Google Ads,Prospecting,31.65,0.064,0.228,Low-CLV,44.22
CUST_00069,2024-06-12,2025-12-15,8,754.43,100.87,582,31,"[""Home & Garden""]",1,Email,None,8.32,0.201,0.136,Growth-Potential,914.28
CUST_00070,2025-03-22,2025-10-25,4,180.42,45.32,299,82,"[""Food & Beverage""]",1,Direct,None,4.73,0.306,0.063,Growth-Potential,289.23
CUST_00071,2025-05-20,2025-12-18,21,2465.82,127.41,240,28,"[""Fashion"", ""Electronics"", ""Home & Garden"", ""Sports""]",4,Email,None,3.01,0.79,0.012,High-CLV,5663.17
CUST_00072,2025-07-12,2025-11-24,6,497.26,84.05,187,52,"[""Beauty""]",1,Direct,None,4.44,0.33,0.149,Growth-Potential,767.8
CUST_00073,2025-03-28,2025-11-21,8,600.33,68.8,293,55,"[""Fashion"", ""Electronics"", ""Toys"", ""Books""]",4,Email,None,7.96,0.366,0.06,Growth-Potential,927.81
CUST_00074,2024-12-18,2025-12-16,3,246.57,79.56,393,30,"[""Electronics"", ""Home & Garden"", ""Sports""]",3,Direct,None,0.52,0.435,0.106,Growth-Potential,357.52
CUST_00075,2025-08-07,2025-11-14,3,311.33,102.26,161,62,"[""Electronics"", ""Sports"", ""Books""]",3,Direct,None,1.34,0.29,0.061,Growth-Potential,580.18
CUST_00076,2024-06-10,2025-12-27,14,2953.88,227.27,584,19,"[""Fashion""]",1,Email,None,3.72,0.658,0.023,High-CLV,10315.61
CUST_00077,2025-08-19,2025-12-21,4,190.63,45.35,149,25,"[""Food & Beverage"", ""Books"", ""Beauty""]",3,Meta Ads,Prospecting,34.89,0.325,0.082,Growth-Potential,302.82
CUST_00078,2025-12-10,2025-12-10,8,629.79,81.86,36,36,"[""Electronics""]",1,Meta Ads,Brand,57.54,0.338,0.061,Growth-Potential,858.74
CUST_00079,2025-03-31,2025-12-09,8,479.15,57.55,290,37,"[""Fashion"", ""Beauty"", ""Books""]",3,Google Ads,Brand,20.94,0.331,0.051,Growth-Potential,591.2
CUST_00080,2025-03-18,2025-06-21,2,90.52,41.4,303,208,"[""Books"", ""Electronics""]",2,Meta Ads,Brand,19.76,0.172,0.242,Low-CLV,88.23
CUST_00081,2024-12-28,2025-12-03,5,416.73,91.06,383,43,"[""Beauty"", ""Toys"", ""Home & Garden"", ""Books"", ""Fashion""]",5,Email,None,3.17,0.358,0.081,Growth-Potential,578.84
CUST_00082,2025-10-20,2025-12-30,24,2948.39,116.78,87,16,"[""Books"", ""Toys"", ""Food & Beverage"", ""Home & Garden"", ""Fashion""]",5,Google Ads,Brand,43.45,0.842,0.015,High-CLV,8489.96
CUST_00083,2024-11-28,2025-11-02,8,393.47,50.51,413,74,"[""Toys""]",1,Meta Ads,Brand,39.94,0.222,0.101,Growth-Potential,617.81
CUST_00084,2024-12-10,2025-11-01,2,119.28,65.37,401,75,"[""Home & Garden""]",1,Meta Ads,Retargeting,46.84,0.524,0.115,Growth-Potential,146.87
CUST_00085,2024-10-31,2025-05-02,3,141.07,45.4,441,258,"[""Books"", ""Electronics"", ""Home & Garden""]",3,Meta Ads,Brand,45.53,0.048,0.175,Low-CLV,118.19
CUST_00086,2024-06-17,2025-11-19,7,725.83,111.7,577,57,"[""Home & Garden"", ""Sports"", ""Books"", ""Electronics""]",4,Meta Ads,Brand,31.95,0.586,0.11,Growth-Potential,1050.76
CUST_00087,2025-07-08,2025-12-20,8,429.93,53.65,191,26,"[""Beauty"", ""Home & Garden""]",2,Meta Ads,Retargeting,36.88,0.481,0.145,Growth-Potential,841.86
CUST_00088,2025-06-18,2025-10-23,3,123.95,42.71,211,84,"[""Toys""]",1,Direct,None,0.9,0.318,0.129,Growth-Potential,164.04
CUST_00089,2025-03-11,2025-11-15,6,747.71,113.92,310,61,"[""Beauty"", ""Sports"", ""Fashion"", ""Home & Garden""]",4,Email,None,8.27,0.266,0.094,Growth-Potential,1474.84
CUST_00090,2025-05-02,2025-06-25,1,34.18,34.75,258,204,"[""Sports""]",1,Meta Ads,Prospecting,36.63,0.284,0.297,Low-CLV,28.06
CUST_00091,2024-04-10,2025-12-11,2,190.41,94.95,645,35,"[""Beauty""]",1,Direct,None,4.42,0.406,0.062,Growth-Potential,352.9
CUST_00092,2024-04-08,2025-05-09,2,38.99,17.95,647,251,"[""Home & Garden"", ""Fashion""]",2,Direct,None,4.59,0.151,0.147,Low-CLV,31.79
CUST_00093,2024-01-21,2025-12-21,8,393.59,46.11,725,25,"[""Toys"", ""Electronics"", ""Home & Garden"", ""Fashion"", ""Books""]",5,Google Ads,Brand,31.92,0.482,0.095,Growth-Potential,510.67
CUST_00094,2025-09-18,2025-10-24,6,490.92,80.61,119,83,"[""Toys"", ""Electronics"", ""Sports""]",3,Email,None,6.57,0.244,0.141,Growth-Potential,727.67
CUST_00095,2025-07-26,2025-12-29,7,1182.07,172.65,173,17,"[""Books"", ""Home & Garden"", ""Food & Beverage"", ""Electronics""]",4,Google Ads,Brand,23.38,0.662,0.077,High-CLV,3208.36
CUST_00096,2024-12-21,2025-12-14,7,575.31,84.93,390,32,"[""Food & Beverage"", ""Books"", ""Fashion"", ""Toys""]",4,Email,None,8.21,0.509,0.124,Growth-Potential,719.41
CUST_00097,2024-12-04,2025-11-22,4,228.95,53.84,407,54,"[""Sports"", ""Home & Garden""]",2,Google Ads,Prospecting,22.39,0.516,0.139,Growth-Potential,432.65
CUST_00098,2025-04-10,2025-11-12,4,237.5,59.42,280,64,"[""Fashion"", ""Books"", ""Beauty""]",3,Google Ads,Brand,50.12,0.347,0.139,Growth-Potential,300.0
CUST_00099,2024-11-13,2025-06-13,3,97.68,33.05,428,216,"[""Food & Beverage"", ""Electronics""]",2,Email,None,9.29,0.031,0.166,Low-CLV,106.54
CUST_00100,2024-04-01,2025-11-10,5,327.02,62.29,654,66,"[""Food & Beverage"", ""Electronics""]",2,Meta Ads,Prospecting,25.62,0.592,0.145,Growth-Potential,425.45
CUST_00101,2025-12-11,2025-12-11,4,282.14,67.01,35,35,"[""Toys"", ""Home & Garden"", ""Books""]",3,Google Ads,Brand,68.03,0.427,0.111,Growth-Potential,401.47
CUST_00102,2024-10-10,2025-12-21,10,1681.12,178.29,462,25,"[""Beauty"", ""Electronics"", ""Fashion"", ""Toys""]",4,Email,None,9.19,0.674,0.049,High-CLV,4882.12
CUST_00103,2025-11-29,2025-11-29,2,204.91,106.94,47,47,"[""Books""]",1,Meta Ads,Prospecting,20.46,0.587,0.149,Growth-Potential,329.29
CUST_00104,2025-08-24,2025-11-14,3,200.35,66.1,144,62,"[""Fashion""]",1,Email,None,10.0,0.398,0.086,Growth-Potential,289.99
CUST_00105,2024-05-23,2025-11-21,6,360.22,60.45,602,55,"[""Home & Garden"", ""Toys"", ""Fashion"", ""Beauty"", ""Electronics""]",5,Google Ads,Prospecting,45.91,0.364,0.107,Growth-Potential,671.85
CUST_00106,2025-06-30,2025-11-25,3,182.55,59.25,199,51,"[""Sports"", ""Food & Beverage"", ""Toys""]",3,Google Ads,Prospecting,52.05,0.484,0.085,Growth-Potential,232.7
CUST_00107,2025-09-26,2025-11-18,6,275.03,42.73,111,58,"[""Sports"", ""Books"", ""Fashion"", ""Food & Beverage"", ""Beauty""]",5,Meta Ads,Brand,16.36,0.463,0.122,Growth-Potential,466.03
CUST_00108,2025-03-06,2025-06-17,3,71.65,26.19,315,212,"[""Beauty"", ""Home & Garden""]",2,Google Ads,Retargeting,35.63,0.287,0.197,Low-CLV,74.71
CUST_00109,2025-01-29,2025-10-27,7,665.77,100.29,351,80,"[""Home & Garden"", ""Electronics""]",2,Meta Ads,Retargeting,57.54,0.338,0.09,Growth-Potential,825.88
CUST_00110,2024-12-16,2025-01-25,2,48.87,26.22,395,355,"[""Food & Beverage"", ""Home & Garden""]",2,Referral,None,0.45,0.26,0.132,Low-CLV,48.82
CUST_00111,2024-03-07,2025-11-25,5,651.35,121.91,679,51,"[""Electronics"", ""Toys"", ""Food & Beverage""]",3,Email,None,9.06,0.286,0.085,Growth-Potential,1006.17
CUST_00112,2025-08-13,2025-12-07,8,540.04,73.8,155,39,"[""Fashion"", ""Food & Beverage"", ""Electronics""]",3,Google Ads,Brand,59.74,0.218,0.055,Growth-Potential,818.23
CUST_00113,2025-06-11,2025-12-26,4,341.51,81.88,218,20,"[""Home & Garden"", ""Sports"", ""Toys"", ""Fashion""]",4,Direct,None,3.07,0.28,0.101,Growth-Potential,499.41
CUST_00114,2025-06-20,2025-12-28,24,5134.47,222.86,209,18,"[""Books"", ""Food & Beverage"", ""Electronics""]",3,Direct,None,2.92,0.635,0.034,High-CLV,20331.45
CUST_00115,2024-10-13,2025-10-18,7,623.24,97.81,459,89,"[""Toys"", ""Fashion"", ""Books"", ""Food & Beverage"", ""Electronics""]",5,Google Ads,Brand,55.03,0.452,0.11,Growth-Potential,1033.37
CUST_00116,2025-03-11,2025-12-29,19,3179.9,155.75,310,17,"[""Home & Garden""]",1,Email,None,6.49,0.568,0.058,High-CLV,9658.52
CUST_00117,2025-07-14,2025-07-14,2,81.46,38.63,185,185,"[""Food & Beverage"", ""Fashion""]",2,Email,None,4.23,0.094,0.135,Low-CLV,96.36
CUST_00118,2025-05-30,2025-11-21,4,415.31,95.54,230,55,"[""Sports"", ""Electronics"", ""Food & Beverage""]",3,Direct,None,1.9,0.482,0.119,Growth-Potential,723.18
CUST_00119,2024-11-05,2025-10-07,2,140.35,68.05,436,100,"[""Beauty""]",1,Email,None,4.17,0.241,0.158,Low-CLV,158.76
CUST_00120,2024-09-20,2025-12-25,4,223.96,59.24,482,21,"[""Books"", ""Food & Beverage"", ""Beauty"", ""Electronics""]",4,Meta Ads,Prospecting,21.19,0.446,0.109,Growth-Potential,390.8
CUST_00121,2025-05-18,2025-08-06,1,34.66,33.68,242,162,"[""Beauty""]",1,Organic,None,3.62,0.281,0.276,Low-CLV,35.15
CUST_00122,2024-02-22,2025-04-27,1,33.71,32.11,693,263,"[""Electronics""]",1,Organic,None,2.84,0.251,0.287,Low-CLV,27.09
CUST_00123,2025-06-04,2025-12-17,15,2181.95,146.4,225,29,"[""Home & Garden"", ""Books"", ""Beauty""]",3,Meta Ads,Prospecting,47.34,0.945,0.048,High-CLV,7192.95
CUST_00124,2024-07-13,2025-12-26,15,3971.11,248.49,551,20,"[""Fashion"", ""Food & Beverage"", ""Toys"", ""Beauty""]",4,Google Ads,Prospecting,32.4,0.756,0.063,High-CLV,10512.34
CUST_00125,2025-09-03,2025-10-19,3,199.76,68.51,134,88,"[""Food & Beverage""]",1,Meta Ads,Brand,33.24,0.307,0.083,Growth-Potential,288.74
CUST_00126,2024-11-13,2025-11-14,7,689.46,90.24,428,62,"[""Books"", ""Beauty"", ""Food & Beverage"", ""Sports"", ""Toys""]",5,Google Ads,Retargeting,60.1,0.476,0.114,Growth-Potential,1245.08
CUST_00127,2025-07-07,2025-07-07,1,46.75,51.06,192,192,"[""Home & Garden""]",1,Google Ads,Prospecting,62.72,0.179,0.257,Low-CLV,40.48
CUST_00128,2025-06-21,2025-11-04,7,388.69,55.38,208,72,"[""Food & Beverage"", ""Books"", ""Home & Garden"", ""Electronics"", ""Beauty""]",5,Google Ads,Prospecting,20.15,0.433,0.059,Growth-Potential,545.55
CUST_00129,2024-03-17,2025-12-23,2,69.61,35.45,669,23,"[""Books"", ""Beauty""]",2,Direct,None,4.59,0.338,0.056,Growth-Potential,108.51
CUST_00130,2025-11-15,2025-11-17,2,166.13,82.45,61,59,"[""Electronics""]",1,Google Ads,Brand,68.92,0.465,0.104,Growth-Potential,299.86
CUST_00131,2024-09-25,2025-11-03,7,472.8,72.03,477,73,"[""Electronics""]",1,Organic,None,2.1,0.413,0.132,Growth-Potential,873.54
CUST_00132,2025-04-17,2025-12-25,2,127.36,64.95,273,21,"[""Home & Garden""]",1,Meta Ads,Prospecting,28.02,0.227,0.109,Growth-Potential,204.17
CUST_00133,2024-12-09,2025-07-18,3,162.99,49.52,402,181,"[""Sports"", ""Electronics""]",2,Google Ads,Retargeting,49.58,0.173,0.255,Low-CLV,166.69
CUST_00134,2025-01-02,2025-11-13,3,246.46,83.55,378,63,"[""Food & Beverage""]",1,Meta Ads,Retargeting,25.14,0.371,0.1,Growth-Potential,343.26
CUST_00135,2025-03-17,2025-03-17,1,42.3,44.59,304,304,"[""Food & Beverage""]",1,Meta Ads,Brand,19.16,0.274,0.212,Low-CLV,48.17
CUST_00136,2024-02-25,2025-12-22,3,151.1,49.5,690,24,"[""Food & Beverage""]",1,Email,None,9.26,0.351,0.11,Growth-Potential,206.57
CUST_00137,2025-05-20,2025-11-30,2,120.63,61.59,240,46,"[""Toys"", ""Beauty""]",2,Meta Ads,Retargeting,31.17,0.276,0.124,Growth-Potential,196.26
CUST_00138,2025-05-10,2025-11-21,6,618.57,104.9,250,55,"[""Electronics"", ""Home & Garden""]",2,Google Ads,Prospecting,49.2,0.386,0.13,Growth-Potential,1016.09
CUST_00139,2024-09-23,2025-10-29,4,229.88,55.42,479,78,"[""Food & Beverage"", ""Fashion"", ""Books"", ""Home & Garden""]",4,Meta Ads,Retargeting,47.41,0.332,0.088,Growth-Potential,306.98
CUST_00140,2024-04-01,2025-12-25,6,737.59,115.05,654,21,"[""Electronics"", ""Fashion""]",2,Meta Ads,Brand,31.79,0.583,0.102,Growth-Potential,1183.53
CUST_00141,2024-02-01,2025-12-31,7,739.55,117.08,714,15,"[""Sports"", ""Electronics"", ""Food & Beverage"", ""Beauty"", ""Fashion""]",5,Google Ads,Retargeting,24.82,0.565,0.116,Growth-Potential,950.78
CUST_00142,2025-02-25,2026-01-12,11,2393.83,219.42,324,3,"[""Sports"", ""Books""]",2,Meta Ads,Brand,18.63,0.614,0.035,High-CLV,8752.14
CUST_00143,2025-08-03,2025-08-03,3,165.89,53.14,165,165,"[""Books"", ""Sports"", ""Electronics""]",3,Meta Ads,Retargeting,56.36,0.028,0.176,Low-CLV,192.09
CUST_00144,2024-04-01,2025-11-26,8,709.38,97.81,654,50,"[""Electronics"", ""Fashion"", ""Sports""]",3,Organic,None,4.1,0.427,0.077,Growth-Potential,933.09
CUST_00145,2025-02-17,2025-02-17,1,31.95,30.49,332,332,"[""Books""]",1,Direct,None,2.19,0.169,0.213,Low-CLV,26.25
CUST_00146,2024-12-15,2025-11-01,2,88.32,40.2,396,75,"[""Toys"", ""Fashion""]",2,Google Ads,Retargeting,53.03,0.184,0.219,Low-CLV,94.67
CUST_00147,2024-10-16,2026-01-10,24,3480.54,141.24,456,5,"[""Books"", ""Electronics"", ""Toys""]",3,Email,None,4.47,0.611,0.015,High-CLV,6997.24
CUST_00148,2025-08-08,2025-10-21,4,168.05,46.41,160,86,"[""Toys"", ""Electronics"", ""Home & Garden""]",3,Google Ads,Prospecting,58.96,0.235,0.093,Growth-Potential,257.29
CUST_00149,2024-07-07,2025-11-13,6,554.13,96.18,557,63,"[""Toys"", ""Home & Garden""]",2,Google Ads,Prospecting,44.21,0.591,0.107,Growth-Potential,851.63
CUST_00150,2025-10-08,2026-01-08,13,2532.28,202.71,99,7,"[""Toys"", ""Food & Beverage"", ""Home & Garden""]",3,Organic,None,2.15,0.824,0.045,High-CLV,7294.1
